titulo,fecha,autor,link,fecha_iso,anio,mes,dia,palabras_titulo,ejes_semanticos,activadores,sin_eje,activadores_eje
"Iguanas, jaguares y pumas: entre las víctimas mortales del tráfico ilegal de vida silvestre en Latinoamérica",2 Ago 2025,Mongabay Latam,https://es.mongabay.com/video/2025/08/iguanas-jaguares-pumas-victimas-mortales-trafico-ilegal-vida-silvestre-latinoamerica/,2025-08-02,2025,8,2,16,['crimen_ilegalidad'],"{'crimen_ilegalidad': ['ilegal', 'tráfico']}",False,"ilegal, tráfico"
Piratas asesinan a más de 20 pescadores artesanales en Perú,26 Jul 2025,Mongabay Latam,https://es.mongabay.com/short-article/2025/07/piratas-asesinan-pescadores-peru/,2025-07-26,2025,7,26,10,"['economia_desarrollo', 'crimen_ilegalidad']","{'economia_desarrollo': ['pescador'], 'crimen_ilegalidad': ['asesinar']}",False,asesinar
¿Cómo funciona un astillero ilegal en Perú?,24 Jul 2025,Mongabay Latam,https://es.mongabay.com/2025/07/astilleros-ilegales-peru/,2025-07-24,2025,7,24,7,['crimen_ilegalidad'],{'crimen_ilegalidad': ['ilegal']},False,ilegal
“Zonas muertas”: estudio revela que el suelo destruido por la minería ilegal de oro impide regeneración de bosques en la Amazonía peruana,21 Jul 2025,Yvette Sierra Praeli,https://es.mongabay.com/2025/07/zonas-muertas-estudio-suelo-destruido-mineria-amazonia-peruana/,2025-07-21,2025,7,21,22,"['biodiversidad_conservacion', 'crimen_ilegalidad']","{'biodiversidad_conservacion': ['amazonía', 'bosque'], 'crimen_ilegalidad': ['ilegal']}",False,ilegal
Minería ilegal en Perú: “Hay una presión internacional por el oro y los principales países consumidores no realizan una debida diligencia respecto al origen” | ENTREVISTA,20 Jul 2025,Emilia Delfino,https://es.mongabay.com/2025/07/mineria-ilegal-peru-oro-amazonia-contaminacion/,2025-07-20,2025,7,20,26,['crimen_ilegalidad'],{'crimen_ilegalidad': ['ilegal']},False,ilegal
La liebre europea amenaza la fauna y agricultura peruana | Reportaje fotográfico,18 Jul 2025,Mongabay Latam,https://es.mongabay.com/2025/07/liebre-europea-amenaza-fauna-agricultura-peruana-reportaje-fotografico/,2025-07-18,2025,7,18,12,"['biodiversidad_conservacion', 'economia_desarrollo', 'crimen_ilegalidad']","{'biodiversidad_conservacion': ['fauna'], 'economia_desarrollo': ['agricultura'], 'crimen_ilegalidad': ['amenazar']}",False,amenazar
"Pueblos indígenas de Perú y Brasil se unen para reclamar contra la construcción de una carretera, concesiones forestales y actividades ilegales",2 Jul 2025,Yvette Sierra Praeli,https://es.mongabay.com/2025/07/pueblos-indigenas-peru-brasil-rechazan-construccion-carretera-concesiones-forestales-actividades-ilegales/,2025-07-02,2025,7,2,21,"['economia_desarrollo', 'sociedad_comunidades', 'crimen_ilegalidad']","{'economia_desarrollo': ['actividad'], 'sociedad_comunidades': ['indígena', 'pueblo'], 'crimen_ilegalidad': ['ilegal']}",False,ilegal
Tráfico de caballitos de mar: el cruel viaje desde las redes de arrastre hacia los mercados asiáticos,1 Jul 2025,Ana Cristina Alvarado,https://es.mongabay.com/2025/07/trafico-caballitos-de-mar-cruel-viaje-redes-arrastre-mercados-asiaticos/,2025-07-01,2025,7,1,17,"['biodiversidad_conservacion', 'crimen_ilegalidad']","{'biodiversidad_conservacion': ['mar'], 'crimen_ilegalidad': ['tráfico']}",False,tráfico
“La gran preocupación que tenemos ahora es el incremento de la violencia y los territorios militarizados” | ENTREVISTA,30 Jun 2025,Yvette Sierra Praeli,https://es.mongabay.com/2025/06/incremento-violencia-territorios-militarizados-entrevista-teresa-zapeta/,2025-06-30,2025,6,30,18,"['sociedad_comunidades', 'crimen_ilegalidad']","{'sociedad_comunidades': ['territorio'], 'crimen_ilegalidad': ['violencia']}",False,violencia
La amenaza del mercurio: el 79 % de la población de seis comunidades nativas de Loreto presenta niveles por encima de los límites permitidos,25 Jun 2025,Yvette Sierra Praeli,https://es.mongabay.com/2025/06/amenaza-mercurio-comunidades-indigenas-loreto-presenta-niveles-altos/,2025-06-25,2025,6,25,24,"['sociedad_comunidades', 'crimen_ilegalidad']","{'sociedad_comunidades': ['comunidad', 'población'], 'crimen_ilegalidad': ['amenaza']}",False,amenaza
"Menonitas, Kailasa y Come to the Rainforest: ¿por qué investigan a estos grupos extranjeros en América Latina?",7 Jun 2025,Mongabay Latam,https://es.mongabay.com/2025/06/menonitas-kailasa-come-to-the-rainforest-investigados-america-latina/,2025-06-07,2025,6,7,17,['crimen_ilegalidad'],{'crimen_ilegalidad': ['grupo']},False,grupo
Perfumes “mágicos” hechos con delfines rosados: la cruel explotación que amenaza a una especie en peligro de extinción,6 Jun 2025,Mongabay Latam,https://es.mongabay.com/video/2025/06/perfumes-magicos-delfines-rosados-cruel-explotacion-extincion/,2025-06-06,2025,6,6,18,"['biodiversidad_conservacion', 'crimen_ilegalidad']","{'biodiversidad_conservacion': ['especie', 'extinción'], 'crimen_ilegalidad': ['amenazar']}",False,amenazar
La resistencia del pueblo awajún llegó a Lima: reclaman al Estado por el avance de la minería ilegal y las amenazas a 20 defensores,5 Jun 2025,Yvette Sierra Praeli,https://es.mongabay.com/2025/06/resistencia-pueblo-awajun-avance-mineria-ilegal-amenazas-defensores-peru/,2025-06-05,2025,6,5,24,"['politica_gobernabilidad', 'sociedad_comunidades', 'crimen_ilegalidad']","{'politica_gobernabilidad': ['estado'], 'sociedad_comunidades': ['pueblo'], 'crimen_ilegalidad': ['amenaza', 'ilegal']}",False,"amenaza, ilegal"
Peligran las turberas amazónicas de Perú por la expansión de la minería ilegal de oro,23 May 2025,Maxwell Radwin,https://es.mongabay.com/2025/05/peligran-turberas-amazonicas-peru-mineria-ilegal-oro/,2025-05-23,2025,5,23,15,['crimen_ilegalidad'],{'crimen_ilegalidad': ['ilegal']},False,ilegal
