titulo,fecha,autor,link,fecha_iso,anio,mes,dia,palabras_titulo,ejes_semanticos,activadores,sin_eje,activadores_eje
"Tráfico de tiburones, comunidades indígenas bajo amenaza, conservación de especies y más",12 Sep 2021,Mongabay Latam,https://es.mongabay.com/2021/09/trafico-de-tiburones-comunidades-indigenas-conservacion/,2021-09-12,2021,9,12,12,"['biodiversidad_conservacion', 'sociedad_comunidades', 'crimen_ilegalidad']","{'biodiversidad_conservacion': ['conservación', 'especie'], 'sociedad_comunidades': ['comunidad', 'indígena'], 'crimen_ilegalidad': ['amenaza', 'tráfico']}",False,"conservación, especie"
"Revuelta de carpinchos en Argentina, incendios en Bolivia, nuevas especies en Perú y más",4 Sep 2021,Mongabay Latam,https://es.mongabay.com/2021/09/revuelta-de-carpinchos-incendios-bolivia-nuevas-especies-peru/,2021-09-04,2021,9,4,14,['biodiversidad_conservacion'],{'biodiversidad_conservacion': ['especie']},False,especie
"En video | Queuña Raymi, una fiesta campesina para poblar de bosques las alturas del Cusco",3 Sep 2021,Mongabay Latam,https://es.mongabay.com/2021/09/queuna-raymi-fiesta-campesina-conservacion-bosques-peru/,2021-09-03,2021,9,3,16,['biodiversidad_conservacion'],{'biodiversidad_conservacion': ['bosques']},False,bosques
Día Internacional de los Primates: tres historias de esperanza sobre especies amenazadas en Latinoamérica,1 Sep 2021,Yvette Sierra Praeli,https://es.mongabay.com/2021/09/dia-internacional-de-los-primates-conservacion-latinoamerica/,2021-09-01,2021,9,1,14,"['biodiversidad_conservacion', 'crimen_ilegalidad']","{'biodiversidad_conservacion': ['especie'], 'crimen_ilegalidad': ['amenazado']}",False,especie
"Probabilidad de nuevas pandemias, pueblos indígenas amenazados, biodiversidad en peligro en Chile y más",28 Ago 2021,Mongabay Latam,https://es.mongabay.com/2021/08/nuevas-pandemias-biodiversidad-en-peligro-en-chile-y-mas/,2021-08-28,2021,8,28,14,"['biodiversidad_conservacion', 'sociedad_comunidades', 'crimen_ilegalidad']","{'biodiversidad_conservacion': ['biodiversidad'], 'sociedad_comunidades': ['indígena', 'pueblo'], 'crimen_ilegalidad': ['amenazado']}",False,biodiversidad
Perú: nuevas pistas clandestinas y un conflicto territorial rodean a la comunidad Kakataibo de Santa Martha,24 Ago 2021,Yvette Sierra Praeli,https://es.mongabay.com/2021/08/peru-nuevas-pistas-narcotrafico-conflicto-territorial-pueblos-indigenas/,2021-08-24,2021,8,24,16,"['biodiversidad_conservacion', 'sociedad_comunidades']","{'biodiversidad_conservacion': ['martha'], 'sociedad_comunidades': ['comunidad']}",False,martha
En video | Tres descubrimientos extraordinarios de especies en Latinoamérica,22 Ago 2021,Mongabay Latam,https://es.mongabay.com/2021/08/video-descubrimientos-extraordinarios-de-especies/,2021-08-22,2021,8,22,10,['biodiversidad_conservacion'],{'biodiversidad_conservacion': ['especie']},False,especie
"Descubren nuevas especies en Perú, comunidades luchan contra los incendios en Bolivia, retratos de la pandemia y más",22 Ago 2021,Mongabay Latam,https://es.mongabay.com/2021/08/descubren-nuevas-especies-comunidades-luchan-contra-incendios-pandemia/,2021-08-22,2021,8,22,18,"['biodiversidad_conservacion', 'sociedad_comunidades']","{'biodiversidad_conservacion': ['especie'], 'sociedad_comunidades': ['comunidad']}",False,especie
Tráfico de especies:  la cadena de protección de la fauna silvestre en Madre de Dios | Reportaje fotográfico,21 Ago 2021,Mongabay Latam,https://es.mongabay.com/2021/08/trafico-de-especies-amazonia-madre-de-dios-reportaje-fotografico/,2021-08-21,2021,8,21,18,"['biodiversidad_conservacion', 'crimen_ilegalidad']","{'biodiversidad_conservacion': ['especie', 'fauna', 'protección'], 'crimen_ilegalidad': ['tráfico']}",False,"especie, fauna, protección"
Dolor y rituales ancestrales: retratos de la pandemia en la Amazonía peruana | Reportaje fotográfico,18 Ago 2021,Mongabay Latam,https://es.mongabay.com/2021/08/retratos-pandemia-amazonia-peruana-reportaje-fotografico/,2021-08-18,2021,8,18,15,['biodiversidad_conservacion'],{'biodiversidad_conservacion': ['amazonía']},False,amazonía
Los secretos de la Cordillera de Colán: científicos suman 26 nuevas especies de anfibios y reptiles para la ciencia,16 Ago 2021,Yvette Sierra Praeli,https://es.mongabay.com/2021/08/peru-cordillera-colan-nuevas-especies-anfibios-reptiles/,2021-08-16,2021,8,16,19,['biodiversidad_conservacion'],"{'biodiversidad_conservacion': ['cordillera', 'especie']}",False,"cordillera, especie"
"Comunidades indígenas bajo amenaza en México, flotas chinas, nuevas áreas protegidas y más",8 Ago 2021,Mongabay Latam,https://es.mongabay.com/2021/08/comunidades-indigenas-amenazadas-flotas-chinas-nuevas-areas-protegidas/,2021-08-08,2021,8,8,13,"['biodiversidad_conservacion', 'sociedad_comunidades', 'crimen_ilegalidad']","{'biodiversidad_conservacion': ['protegido', 'área'], 'sociedad_comunidades': ['comunidad', 'indígena'], 'crimen_ilegalidad': ['amenaza']}",False,"protegido, área"
Perú: tres nuevas áreas de conservación regional protegerán paisajes únicos y fauna espectacular,3 Ago 2021,Yvette Sierra Praeli,https://es.mongabay.com/2021/08/peru-tres-nuevas-areas-de-conservacion-regional/,2021-08-03,2021,8,3,13,['biodiversidad_conservacion'],"{'biodiversidad_conservacion': ['conservación', 'fauna', 'proteger', 'área']}",False,"conservación, fauna, proteger, área"
Perú: la metodología científica que ayudó a proteger casi 6 millones de hectáreas de bosque en Loreto,2 Ago 2021,Yvette Sierra Praeli,https://es.mongabay.com/2021/08/peru-metodologia-cientifica-conservacion-bosque-loreto/,2021-08-02,2021,8,2,17,['biodiversidad_conservacion'],"{'biodiversidad_conservacion': ['bosque', 'proteger']}",False,"bosque, proteger"
Día internacional del guardaparques: las mujeres que custodian cuatro áreas naturales protegidas de Latinoamérica,31 Jul 2021,Yvette Sierra Praeli,https://es.mongabay.com/2021/07/dia-internacional-del-guardaparques-mujeres-latinoamerica/,2021-07-31,2021,7,31,14,['biodiversidad_conservacion'],"{'biodiversidad_conservacion': ['protegido', 'área']}",False,"protegido, área"
Perú: nace la reserva indígena Kakataibo Norte y Sur en zona amenazada por invasiones y narcotráfico,28 Jul 2021,Yvette Sierra Praeli,https://es.mongabay.com/2021/07/peru-nace-reserva-indigena-kakataibo-norte-y-sur/,2021-07-28,2021,7,28,16,"['biodiversidad_conservacion', 'crimen_ilegalidad']","{'biodiversidad_conservacion': ['reserva'], 'crimen_ilegalidad': ['amenazado']}",False,reserva
"Nuevo reporte: deforestación superó las 2 millones de hectáreas en la Amazonía de Bolivia, Colombia, Ecuador y Perú",23 Jul 2021,Yvette Sierra Praeli,https://es.mongabay.com/2021/07/deforestacion-amazonia-bosques-areas-protegidas-pueblos-indigenas/,2021-07-23,2021,7,23,18,['biodiversidad_conservacion'],"{'biodiversidad_conservacion': ['amazonía', 'deforestación']}",False,"amazonía, deforestación"
Bosques caídos: ¿Cuál es el impacto de una colonia menonita en la Amazonía del Perú? | Reportaje fotográfico,21 Jul 2021,Mongabay Latam,https://es.mongabay.com/2021/07/bosques-caidos-impacto-de-menonitas-en-peru-deforestacion/,2021-07-21,2021,7,21,18,"['biodiversidad_conservacion', 'sociedad_comunidades']","{'biodiversidad_conservacion': ['amazonía', 'bosque'], 'sociedad_comunidades': ['impacto']}",False,"amazonía, bosque"
"Mapas del delito, flotas chinas se aproximan a Galápagos, conservación de serpientes y más",18 Jul 2021,Mongabay Latam,https://es.mongabay.com/2021/07/mapas-del-delito-flotas-chinas-conservacion-serpientes/,2021-07-18,2021,7,18,14,"['biodiversidad_conservacion', 'crimen_ilegalidad']","{'biodiversidad_conservacion': ['conservación'], 'crimen_ilegalidad': ['delito']}",False,conservación
Video: ¿Cómo los bosques de comunidades indígenas salvaron a poblaciones de Loreto en la pandemia?,15 Jul 2021,Mongabay Latam,https://es.mongabay.com/2021/07/video-bosques-salvan-a-poblaciones-durante-pandemia-peru/,2021-07-15,2021,7,15,15,"['biodiversidad_conservacion', 'sociedad_comunidades']","{'biodiversidad_conservacion': ['bosque'], 'sociedad_comunidades': ['comunidad', 'indígena', 'población']}",False,bosque
Bosques de comunidades indígenas shipibo conibo en peligro por narcotraficantes | Historia gráfica,14 Jul 2021,Mongabay Latam,https://es.mongabay.com/2021/07/bosques-shipibo-conibo-peligro-narcotraficantes-historia-grafica/,2021-07-14,2021,7,14,13,"['biodiversidad_conservacion', 'sociedad_comunidades', 'crimen_ilegalidad']","{'biodiversidad_conservacion': ['bosque'], 'sociedad_comunidades': ['comunidad', 'indígena'], 'crimen_ilegalidad': ['narcotraficante']}",False,bosque
Narcotráfico arrasa bosques de indígenas shipibo y los obliga a replegarse en Perú,12 Jul 2021,Enrique Vera,https://es.mongabay.com/2021/07/narcotrafico-bosques-indigenas-shipibo-peru-deforestacion/,2021-07-12,2021,7,12,13,"['biodiversidad_conservacion', 'sociedad_comunidades']","{'biodiversidad_conservacion': ['bosque'], 'sociedad_comunidades': ['indígena']}",False,bosque
Mapas del delito: vigilancia satelital revela el violento impacto de la deforestación en tierras indígenas,12 Jul 2021,Mongabay Latam,https://es.mongabay.com/2021/07/mapas-del-delito-deforestacion-pandemia-pueblos-indigenas-bosques/,2021-07-12,2021,7,12,15,"['biodiversidad_conservacion', 'sociedad_comunidades', 'crimen_ilegalidad']","{'biodiversidad_conservacion': ['deforestación'], 'sociedad_comunidades': ['impacto', 'indígena'], 'crimen_ilegalidad': ['delito']}",False,deforestación
Perú: ¿Por qué la minería podría reducir las poblaciones de peces y nutrias gigantes en Madre De Dios?,9 Jul 2021,Yvette Sierra Praeli,https://es.mongabay.com/2021/07/peru-mineria-amenaza-peces-nutrias-gigantes/,2021-07-09,2021,7,9,18,"['biodiversidad_conservacion', 'sociedad_comunidades']","{'biodiversidad_conservacion': ['pez'], 'sociedad_comunidades': ['población']}",False,pez
Pleno del Congreso de Perú debatirá polémica ley que permitiría el uso de dragas y la minería en ríos,7 Jul 2021,Yvette Sierra Praeli,https://es.mongabay.com/2021/07/congreso-de-peru-debatira-polemica-ley-mineria-en-rios/,2021-07-07,2021,7,7,19,"['biodiversidad_conservacion', 'politica_gobernabilidad']","{'biodiversidad_conservacion': ['río'], 'politica_gobernabilidad': ['congreso', 'ley']}",False,río
Cámaras trampa captan la fauna poco explorada de desierto y bosques secos de Perú y Ecuador,6 Jul 2021,Yvette Sierra Praeli,https://es.mongabay.com/2021/07/camaras-trampa-captan-fauna-poco-explorada-peru-ecuador/,2021-07-06,2021,7,6,16,['biodiversidad_conservacion'],"{'biodiversidad_conservacion': ['bosque', 'fauna']}",False,"bosque, fauna"
Científicos descubren un extraordinario ecosistema en las cordilleras submarinas frente a Chile y Perú,5 Jul 2021,Michelle Carrere,https://es.mongabay.com/2021/07/descubren-extraordinario-ecosistema-cordilleras-submarinas-chile-peru/,2021-07-05,2021,7,5,14,['biodiversidad_conservacion'],"{'biodiversidad_conservacion': ['cordillera', 'ecosistema']}",False,"cordillera, ecosistema"
Bosques Tropicales: cada día es más urgente su conservación,23 Jun 2021,Antonio José Paz Cardona,https://es.mongabay.com/2021/06/bosques-tropicales-urgente-su-conservacion/,2021-06-23,2021,6,23,9,['biodiversidad_conservacion'],"{'biodiversidad_conservacion': ['bosque', 'conservación']}",False,"bosque, conservación"
Liz Chicaje: defensora del Parque Nacional Yaguas gana el Premio Goldman,15 Jun 2021,Yvette Sierra Praeli,https://es.mongabay.com/2021/06/peru-liz-chicaje-gana-el-premio-goldman-2021/,2021-06-15,2021,6,15,11,['biodiversidad_conservacion'],{'biodiversidad_conservacion': ['parque']},False,parque
Perú: nace la Reserva Nacional Dorsal de Nasca en medio de controversias por pesca industrial,11 Jun 2021,Yvette Sierra Praeli,https://es.mongabay.com/2021/06/peru-reserva-nacional-dorsal-nasca-pesca-industrial/,2021-06-11,2021,6,11,15,"['biodiversidad_conservacion', 'economia_desarrollo']","{'biodiversidad_conservacion': ['reserva'], 'economia_desarrollo': ['industrial', 'pesca']}",False,reserva
¿Es posible restaurar los ecosistemas de Latinoamérica?,5 Jun 2021,Yvette Sierra Praeli,https://es.mongabay.com/2021/06/dia-mundial-medio-ambiente-restauracion-ecosistemas-latinoamerica/,2021-06-05,2021,6,5,7,['biodiversidad_conservacion'],{'biodiversidad_conservacion': ['ecosistema']},False,ecosistema
#ExpedicionesCientíficas: Los secretos del bosque de Tahuamanu,30 May 2021,Mongabay Latam,https://es.mongabay.com/2021/05/expedicionescientificas-los-secretos-del-bosque-de-tahuamanu/,2021-05-30,2021,5,30,7,['biodiversidad_conservacion'],{'biodiversidad_conservacion': ['bosque']},False,bosque
Se debilita el trazo de la madera en la Amazonía peruana,28 May 2021,Alianza periodística madera sin rastro,https://es.mongabay.com/2021/05/se-debilita-el-trazo-de-la-madera-en-la-amazonia-peruana/,2021-05-28,2021,5,28,11,['biodiversidad_conservacion'],{'biodiversidad_conservacion': ['amazonía']},False,amazonía
Estudio revela que palma aceitera y soya se cultivan en bosques talados de manera ilegal,26 May 2021,Yvette Sierra Praeli,https://es.mongabay.com/2021/05/palma-soya-se-cultivan-en-bosques-talados-de-manera-ilegal/,2021-05-26,2021,5,26,15,"['biodiversidad_conservacion', 'crimen_ilegalidad']","{'biodiversidad_conservacion': ['bosque'], 'crimen_ilegalidad': ['ilegal']}",False,bosque
