titulo,fecha,autor,link,fecha_iso,anio,mes,dia,palabras_titulo
“Saweto es el primer caso de muerte de un defensor ambiental que tiene una sentencia de segunda instancia” | PODCAST,30 Ago 2025,Geraldine Santos,https://es.mongabay.com/podcast/2025/08/saweto-muerte-defensor-ambiental-sentencia-peru-podcast/,2025-08-30,2025,8,30,20
“Me siento orgulloso de ser el primer asháninka que publica artículos científicos y creo que no seré el único” | ENTREVISTA,30 Ago 2025,Xilena Pinedo,https://es.mongabay.com/2025/08/me-siento-orgulloso-de-ser-el-primer-ashaninka-que-publica-articulos-cientificos-y-creo-que-no-sere-el-unico-entrevista/,2025-08-30,2025,8,30,21
Al rescate del «colibrí maravilloso»: reforestan con plantas nativas el Alto Utcubamba para proteger al colibrí cola de espátula,29 Ago 2025,Geraldine Santos,https://es.mongabay.com/2025/08/reforestacion-alto-utcubamba-proteger-colibri-cola-de-espatula-peru/,2025-08-29,2025,8,29,19
La minería ilegal de oro avanza en nueve regiones amazónicas de Perú | ESTUDIO,27 Ago 2025,Yvette Sierra Praeli,https://es.mongabay.com/2025/08/mineria-ilegal-oro-avanza-regiones-amazonicas-peru/,2025-08-27,2025,8,27,14
¿Cómo se lava el oro ilegal en el sistema financiero de Estados Unidos?,27 Ago 2025,Mongabay Latam,https://es.mongabay.com/podcast/2025/08/como-se-lava-el-oro-ilegal-en-el-sistema-financiero-de-estados-unidos-podcast/,2025-08-27,2025,8,27,13
Caso Saweto: ratifican sentencia de 28 años de prisión contra madereros por el asesinato de cuatro líderes indígenas de Perú,26 Ago 2025,Geraldine Santos,https://es.mongabay.com/2025/08/caso-saweto-ratifican-prision-contra-madereros-asesinato-lideres-indigenas-peru/,2025-08-26,2025,8,26,20
"La triple frontera entre Colombia, Ecuador y Perú ya es la zona fronteriza más conflictiva de la cuenca amazónica | INFORME",25 Ago 2025,Ana Cristina Alvarado,https://es.mongabay.com/2025/08/triple-frontera-colombia-ecuador-peru-conflicto-amazonia/,2025-08-25,2025,8,25,21
Bloqueo en el río Tigre de Perú: comunidades indígenas aseguran que la presencia de dragas de minería ilegal está creciendo,25 Ago 2025,Yvette Sierra Praeli,https://es.mongabay.com/2025/08/bloqueo-rio-tigre-peru-dragas-mineria-ilegal/,2025-08-25,2025,8,25,20
“Es muy poco lo que se conoce del tapir y su rol como arquitecto de bosque” | PODCAST,23 Ago 2025,Geraldine Santos,https://es.mongabay.com/podcast/2025/08/es-muy-poco-lo-que-se-conoce-del-tapir-y-su-rol-como-arquitecto-de-bosque-podcast/,2025-08-23,2025,8,23,18
La recolección de algas en Perú empodera a las mujeres pescadoras de Paracas,23 Ago 2025,Ramiro Escobar,https://es.mongabay.com/2025/08/la-recoleccion-de-algas-en-peru-empodera-a-las-mujeres-pescadoras-de-paracas/,2025-08-23,2025,8,23,13
